Player,Team,Plays,Att,EPA_per_play,Success_pct,ADoT,Sack_pct,Time_to_throw,Bad_throw_pct
Bo Nix,DEN,717,612.0,0.09,43.93,7.71,3.28,2.72,15.9
Dak Prescott,DAL,684,600.0,0.14,47.37,8.23,4.72,2.67,12.5
Matthew Stafford,LAR,649,597.0,0.17,50.85,9.34,3.67,2.64,18.1
Jared Goff,DET,635,578.0,0.14,47.87,6.82,6.12,2.54,15.8
Caleb Williams,CHI,669,568.0,0.07,43.8,9.33,3.78,3.03,20.7
Trevor Lawrence,JAX,683,560.0,0.09,47.73,8.96,6.38,2.68,14.4
Baker Mayfield,TAM,634,543.0,0.05,44.48,8.34,5.79,2.71,15.7
Justin Herbert,LAC,649,512.0,0.03,46.84,8.12,8.78,2.74,15.2
Patrick Mahomes,KAN,600,502.0,0.16,49.0,8.56,5.77,2.66,17.9
Aaron Rodgers,PIT,548,498.0,0.02,42.34,6.39,5.38,2.46,17.3
Drake Maye,NWE,642,492.0,0.26,52.96,9.51,7.82,2.81,13.8
Jacoby Brissett,ARI,566,485.0,0.0,45.76,8.09,7.82,2.8,17.6
Bryce Young,CAR,559,478.0,-0.03,42.58,6.99,5.03,2.7,16.4
Sam Darnold,SEA,539,477.0,0.09,51.02,8.3,5.21,2.71,14.6
Josh Allen,BUF,612,460.0,0.17,48.86,7.55,7.27,2.74,13.0
Jalen Hurts,PHI,591,454.0,0.07,44.33,9.54,6.07,2.8,16.7
Geno Smith,LVR,544,448.0,-0.14,41.91,6.46,10.56,2.61,11.4
Jordan Love,GNB,507,439.0,0.24,48.92,9.42,4.34,2.72,14.6
C.J. Stroud,HOU,494,423.0,0.11,46.15,8.47,4.88,2.68,17.6
Joe Flacco,2TM,455,416.0,-0.1,41.1,7.89,4.11,2.57,16.4
Daniel Jones,IND,451,384.0,0.17,51.0,8.24,5.13,2.55,12.1
Tua Tagovailoa,MIA,434,384.0,0.0,43.78,7.07,7.06,2.56,15.9
Jaxson Dart,NYG,460,339.0,0.06,45.22,8.45,8.47,2.66,15.5
Tyler Shough,NOR,403,327.0,-0.02,43.67,8.6,8.2,2.54,15.9
Lamar Jackson,BAL,405,302.0,0.07,45.93,9.13,9.76,2.89,18.3
Mac Jones,SFO,341,289.0,0.1,50.44,7.64,5.11,2.58,14.0
Brock Purdy,SFO,328,284.0,0.23,53.96,7.9,3.51,3.01,12.3
Michael Penix,ATL,310,276.0,0.02,44.84,8.71,4.3,2.7,24.0
Kirk Cousins,ATL,296,269.0,-0.02,44.26,7.33,4.58,2.59,16.1
Joe Burrow,CIN,290,259.0,0.11,49.31,7.53,5.99,2.67,11.3
Spencer Rattler,NOR,306,257.0,-0.09,46.41,8.29,6.19,2.54,11.0
J.J. McCarthy,MIN,307,243.0,-0.15,41.04,9.0,9.41,2.82,21.3
Marcus Mariota,WAS,293,227.0,0.01,46.76,10.93,6.13,2.72,16.7
Shedeur Sanders,CLE,256,212.0,-0.23,36.72,7.82,9.09,3.09,18.0
Justin Fields,NYJ,302,204.0,-0.06,44.37,7.11,10.42,2.71,12.9
